name,category,latitude,longitude,description,source,h3_index_res8,h3_index_res9,buffer_radius_meters,metadata
Reliance Jamnagar Refinery Complex,refinery,22.4707,70.061,World's largest petroleum refining complex (DTA + SEZ),VIIRS_Nightfire/WorldBank,8842c0566dfffff,8942c0566c7ffff,2500.0,"{""capacity_bpd"": 1240000, ""corridor"": ""Western_Gujarat"", ""primary_emitters"": [""crude_distillation"", ""coker"", ""flare_stack_north"", ""flare_stack_south""], ""expected_baseline_frp_mw"": 85.0}"
Nayara Energy Vadinar Refinery,refinery,22.423,69.721,Vadinar complex second-largest single-site refinery in India,VIIRS_Nightfire,8842c63687fffff,8942c63686bffff,1800.0,"{""capacity_bpd"": 400000, ""corridor"": ""Western_Gujarat"", ""expected_baseline_frp_mw"": 45.0}"
ONGC Hazira Gas Processing Plant,gas_flare,21.1444,72.6418,India's largest sour gas processing facility with permanent flare stacks,VIIRS_Nightfire/GGFR,8842dd6d35fffff,8942dd6d347ffff,1200.0,"{""corridor"": ""Western_Gujarat"", ""type"": ""sour_gas_sweetening_flare"", ""expected_baseline_frp_mw"": 35.0}"
Dahej Petrochemical Complex (OPaL),petrochemical,21.7052,72.5835,ONGC Petro additions Limited mega-dual feed cracker,OSM_Industrial,8842dd30ebfffff,8942dd30eabffff,1500.0,"{""corridor"": ""Western_Gujarat"", ""type"": ""steam_cracker_flare"", ""expected_baseline_frp_mw"": 50.0}"
BPCL & HPCL Mumbai Trombay Refineries,refinery,19.0065,72.8988,Urban coastal refining hub with regulated marine flare systems,VIIRS_Nightfire,88608b19c1fffff,89608b19c0fffff,1500.0,"{""corridor"": ""Western_Maharashtra"", ""expected_baseline_frp_mw"": 30.0}"
ONGC Mumbai High Offshore Flaring Platform (North),gas_flare,19.418,71.332,Offshore crude extraction continuous associated gas flare,VIIRS_Nightfire/GGFR,8860d2506bfffff,8960d2506bbffff,2000.0,"{""corridor"": ""Offshore_ArabianSea"", ""offshore"": true, ""expected_baseline_frp_mw"": 110.0}"
Tata Steel Jamshedpur Works,steel_mill,22.7845,86.2029,Integrated steel plant with multiple blast furnaces and coke ovens,OSM_Industrial,883cabc1a9fffff,893cabc1a8bffff,2000.0,"{""corridor"": ""Eastern_Jharkhand"", ""facilities"": [""blast_furnaces_H_I"", ""coke_ovens"", ""sinter_plant""], ""expected_baseline_frp_mw"": 60.0}"
SAIL Rourkela Steel Plant,steel_mill,22.2155,84.869,Integrated steel complex with active basic oxygen furnaces,OSM_Industrial,883c8535b7fffff,893c8535b73ffff,2000.0,"{""corridor"": ""Eastern_Odisha"", ""facilities"": [""blast_furnace_5"", ""sms_2""], ""expected_baseline_frp_mw"": 55.0}"
SAIL Bokaro Steel Plant,steel_mill,23.6693,86.1511,Large metallurgical complex with 5 blast furnaces,OSM_Industrial,883ca830a9fffff,893ca830a87ffff,2200.0,"{""corridor"": ""Eastern_Jharkhand"", ""expected_baseline_frp_mw"": 70.0}"
SAIL Bhilai Steel Plant,steel_mill,21.1824,81.392,India's sole producer of rails and heavy steel plates,OSM_Industrial,883cb0371bfffff,893cb0371afffff,2200.0,"{""corridor"": ""Central_Chhattisgarh"", ""expected_baseline_frp_mw"": 65.0}"
Jharia Coalfield Persistent Subsurface Fire Zone,coal_seam_fire,23.7432,86.4172,Century-old underground and open-cast coal fires with persistent high thermal output,satellite_historic,883ca9c91bfffff,893ca9c91abffff,3500.0,"{""corridor"": ""Eastern_Jharkhand"", ""thermal_type"": ""continuous_coal_combustion"", ""expected_baseline_frp_mw"": 90.0}"
NTPC Singrauli Super Thermal Power Station,power_plant,24.103,82.682,"2,000 MW coal-fired base load thermal power complex",OSM_Industrial,883ca54d61fffff,893ca54d607ffff,1500.0,"{""corridor"": ""Central_MP_UP"", ""capacity_mw"": 2000, ""expected_baseline_frp_mw"": 25.0}"
IOCL Panipat Refinery & Petrochemical Complex,refinery,29.4678,76.892,Major northern refinery located in prime agricultural residue burning zone,VIIRS_Nightfire/OSM,883d12c1c7fffff,893d12c1c77ffff,2000.0,"{""corridor"": ""Northern_Haryana"", ""capacity_mmtpa"": 15.0, ""high_stubble_risk"": true, ""expected_baseline_frp_mw"": 40.0}"
HMEL Guru Gobind Singh Refinery (Bathinda),refinery,29.988,74.925,Bathinda inland refinery surrounded by intense seasonal crop burning,VIIRS_Nightfire,88424b8e67fffff,89424b8e66bffff,1800.0,"{""corridor"": ""Northern_Punjab"", ""high_stubble_risk"": true, ""expected_baseline_frp_mw"": 35.0}"
CPCL Manali Refinery (Chennai),refinery,13.167,80.267,Coastal petrochemical cluster in North Chennai,OSM_Industrial,88618eb355fffff,89618eb3547ffff,1500.0,"{""corridor"": ""Southern_TamilNadu"", ""expected_baseline_frp_mw"": 30.0}"
BPCL Kochi Refinery (Ambalamugal),refinery,9.9725,76.368,Major petrochemical crude refining complex in Kerala,OSM_Industrial,886031a401fffff,896031a4013ffff,1600.0,"{""corridor"": ""Southern_Kerala"", ""expected_baseline_frp_mw"": 35.0}"
HPCL Visakhapatnam Refinery,refinery,17.697,83.256,East coast marine crude refinery and petrochemical terminal,OSM_Industrial,883c930027fffff,893c9300247ffff,1400.0,"{""corridor"": ""Southern_AndhraPradesh"", ""expected_baseline_frp_mw"": 32.0}"
